order_id,customer_id,product_id,channel_id,order_date,quantity,unit_price,total_amount,order_status,delivery_date
ORD-10001,CUST-0111,PROD-116,CH-01,2021-03-27,1,1866.98,1866.98,completed,2021-04-02
ORD-10002,CUST-0234,PROD-106,CH-01,2022-12-07,3,3605.58,10816.74,completed,2022-12-13
ORD-10003,CUST-0349,PROD-112,CH-03,2023-01-19,1,3413.06,3413.06,completed,2023-01-28
ORD-10004,CUST-0068,PROD-101,CH-01,2023-02-26,1,2062.47,2062.47,completed,2023-03-03
ORD-10005,CUST-0117,PROD-130,CH-01,2022-06-02,4,1868.22,7472.88,completed,2022-06-11
ORD-10006,CUST-0442,PROD-116,CH-01,2023-11-19,1,1866.98,1866.98,completed,2023-11-21
ORD-10007,CUST-0216,PROD-149,CH-01,2022-03-03,1,1190.52,1190.52,completed,2022-03-07
ORD-10008,CUST-0006,PROD-110,CH-01,2023-03-06,1,2635.02,2635.02,refunded,2023-03-08
ORD-10009,CUST-0457,PROD-131,CH-03,2022-05-17,2,2870.03,5740.06,cancelled,
ORD-10010,CUST-0122,PROD-113,CH-03,2022-11-18,1,2239.31,2239.31,refunded,2022-11-21
ORD-10011,CUST-0138,PROD-124,CH-01,2023-05-29,3,2616.01,7848.03,completed,2023-06-01
ORD-10012,CUST-0269,PROD-134,CH-01,2023-05-17,1,1351.99,1351.99,completed,2023-05-21
ORD-10013,CUST-0090,PROD-102,CH-03,2021-12-16,1,3124.58,3124.58,completed,2021-12-19
ORD-10014,CUST-0097,PROD-108,CH-02,2021-10-16,1,2898.12,2898.12,completed,2021-10-25
ORD-10015,CUST-0204,PROD-104,CH-02,2021-09-08,1,2837.12,2837.12,completed,2021-09-16
ORD-10016,CUST-0333,PROD-145,CH-01,2023-04-22,1,2094.18,2094.18,cancelled,
ORD-10017,CUST-0260,PROD-125,CH-02,2023-09-28,2,2577.58,5155.16,completed,2023-10-07
ORD-10018,CUST-0441,PROD-131,CH-01,2023-01-17,1,2870.03,2870.03,completed,2023-01-22
ORD-10019,CUST-0115,PROD-105,CH-02,2023-10-13,2,3221.29,6442.58,completed,2023-10-16
ORD-10020,CUST-0269,PROD-117,CH-02,2022-11-11,1,2591.06,2591.06,completed,2022-11-16
ORD-10021,CUST-0430,PROD-113,CH-01,2021-04-30,2,2239.31,4478.62,completed,2021-05-05
ORD-10022,CUST-0404,PROD-113,CH-02,2022-05-11,1,2239.31,2239.31,pending,
ORD-10023,CUST-0253,PROD-143,CH-02,2023-05-11,1,2100.35,2100.35,refunded,2023-05-13
ORD-10024,CUST-0464,PROD-113,CH-01,2021-02-08,1,2239.31,2239.31,completed,2021-02-17
ORD-10025,CUST-0275,PROD-151,CH-02,2021-01-28,1,694.05,694.05,completed,2021-02-06
ORD-10026,CUST-0484,PROD-103,CH-01,2022-06-24,2,3714.61,7429.22,completed,2022-07-01
ORD-10027,CUST-0130,PROD-114,CH-02,2022-03-20,1,3231.42,3231.42,cancelled,
ORD-10028,CUST-0493,PROD-105,CH-01,2021-08-18,5,3221.29,16106.45,completed,2021-08-23
ORD-10029,CUST-0019,PROD-107,CH-02,2021-03-05,2,3718.81,7437.62,refunded,2021-03-14
ORD-10030,CUST-0035,PROD-141,CH-01,2021-06-21,2,1788.8,3577.6,completed,2021-06-27
ORD-10031,CUST-0067,PROD-155,CH-01,2021-07-17,1,469.35,469.35,refunded,2021-07-26
ORD-10032,CUST-0268,PROD-116,CH-01,2022-05-07,1,1866.98,1866.98,completed,2022-05-11
ORD-10033,CUST-0500,PROD-121,CH-02,2023-05-05,5,2039.76,10198.8,completed,2023-05-10
ORD-10034,CUST-0260,PROD-107,CH-03,2021-03-21,1,3718.81,3718.81,completed,2021-03-27
ORD-10035,CUST-0204,PROD-104,CH-01,2021-01-10,1,2837.12,2837.12,completed,2021-01-15
ORD-10036,CUST-0090,PROD-106,CH-02,2023-08-15,2,3605.58,7211.16,completed,2023-08-23
ORD-10037,CUST-0187,PROD-143,CH-01,2023-12-06,2,2100.35,4200.7,completed,2023-12-14
ORD-10038,CUST-0372,PROD-155,CH-01,2022-07-11,4,469.35,1877.4,cancelled,
ORD-10039,CUST-0485,PROD-102,CH-01,2022-06-07,2,3124.58,6249.16,completed,2022-06-12
ORD-10040,CUST-0062,PROD-132,CH-01,2021-05-13,2,1633.99,3267.98,cancelled,
ORD-10041,CUST-0388,PROD-141,CH-01,2023-01-02,3,1788.8,5366.4,completed,2023-01-04
ORD-10042,CUST-0180,PROD-104,CH-01,2023-12-01,3,2837.12,8511.36,completed,2023-12-08
ORD-10043,CUST-0090,PROD-101,CH-02,2022-11-11,2,2062.47,4124.94,cancelled,
ORD-10044,CUST-0458,PROD-105,CH-01,2023-08-17,2,3221.29,6442.58,completed,2023-08-22
ORD-10045,CUST-0199,PROD-127,CH-01,2023-05-03,4,2641.01,10564.04,cancelled,
ORD-10046,CUST-0450,PROD-107,CH-02,2023-10-23,1,3718.81,3718.81,completed,2023-10-25
ORD-10047,CUST-0091,PROD-154,CH-01,2022-01-21,2,998.62,1997.24,completed,2022-01-26
ORD-10048,CUST-0370,PROD-130,CH-01,2021-05-18,2,1868.22,3736.44,completed,2021-05-23
ORD-10049,CUST-0323,PROD-126,CH-02,2023-03-21,3,2119.57,6358.71,completed,2023-03-29
ORD-10050,CUST-0379,PROD-129,CH-01,2021-10-21,3,2312.12,6936.36,completed,2021-10-24
ORD-10051,CUST-0433,PROD-151,CH-01,2022-05-17,3,694.05,2082.15,completed,2022-05-24
ORD-10052,CUST-0297,PROD-109,CH-03,2023-05-13,1,2552.17,2552.17,completed,2023-05-16
ORD-10053,CUST-0447,PROD-103,CH-03,2021-03-13,2,3714.61,7429.22,completed,2021-03-17
ORD-10054,CUST-0460,PROD-129,CH-03,2022-06-08,1,2312.12,2312.12,completed,2022-06-12
ORD-10055,CUST-0097,PROD-132,CH-01,2022-05-20,1,1633.99,1633.99,pending,
ORD-10056,CUST-0201,PROD-127,CH-02,2021-01-15,4,2641.01,10564.04,completed,2021-01-22
ORD-10057,CUST-0089,PROD-145,CH-02,2022-12-18,2,2094.18,4188.36,completed,2022-12-27
ORD-10058,CUST-0184,PROD-112,CH-02,2022-05-06,1,3413.06,3413.06,completed,2022-05-15
ORD-10059,CUST-0393,PROD-107,CH-01,2022-01-25,1,3718.81,3718.81,completed,2022-01-29
ORD-10060,CUST-0311,PROD-151,CH-01,2022-10-31,1,694.05,694.05,completed,2022-11-04
ORD-10061,CUST-0002,PROD-113,CH-01,2021-06-06,1,2239.31,2239.31,completed,2021-06-13
ORD-10062,CUST-0413,PROD-105,CH-02,2021-06-26,4,3221.29,12885.16,completed,2021-06-30
ORD-10063,CUST-0142,PROD-107,CH-01,2022-01-26,1,3718.81,3718.81,refunded,2022-01-28
ORD-10064,CUST-0170,PROD-105,CH-01,2022-03-02,2,3221.29,6442.58,completed,2022-03-06
ORD-10065,CUST-0105,PROD-147,CH-02,2021-01-03,1,1334.76,1334.76,completed,2021-01-12
ORD-10066,CUST-0140,PROD-123,CH-03,2023-08-20,1,1828.62,1828.62,completed,2023-08-29
ORD-10067,CUST-0292,PROD-144,CH-01,2022-01-04,2,1202.67,2405.34,refunded,2022-01-07
ORD-10068,CUST-0409,PROD-101,CH-01,2021-11-29,1,2062.47,2062.47,cancelled,
ORD-10069,CUST-0028,PROD-124,CH-02,2021-02-09,1,2616.01,2616.01,completed,2021-02-15
ORD-10070,CUST-0169,PROD-140,CH-01,2021-07-08,2,1752.42,3504.84,completed,2021-07-16
ORD-10071,CUST-0352,PROD-127,CH-01,2021-07-07,1,2641.01,2641.01,cancelled,
ORD-10072,CUST-0308,PROD-137,CH-01,2023-01-01,1,1872.15,1872.15,completed,2023-01-07
ORD-10073,CUST-0407,PROD-140,CH-01,2022-01-08,3,1752.42,5257.26,cancelled,
ORD-10074,CUST-0266,PROD-136,CH-01,2023-02-17,2,1227.29,2454.58,completed,2023-02-25
ORD-10075,CUST-0154,PROD-125,CH-01,2023-02-18,2,2577.58,5155.16,refunded,2023-02-24
ORD-10076,CUST-0065,PROD-109,CH-03,2022-05-20,3,2552.17,7656.51,completed,2022-05-28
ORD-10077,CUST-0285,PROD-111,CH-01,2021-03-24,3,3494.37,10483.11,completed,2021-03-28
ORD-10078,CUST-0453,PROD-110,CH-02,2021-07-13,1,2635.02,2635.02,cancelled,
ORD-10079,CUST-0035,PROD-111,CH-02,2023-06-05,1,3494.37,3494.37,completed,2023-06-10
ORD-10080,CUST-0033,PROD-106,CH-01,2021-01-18,1,3605.58,3605.58,completed,2021-01-27
ORD-10081,CUST-0441,PROD-109,CH-02,2021-05-06,1,2552.17,2552.17,completed,2021-05-11
ORD-10082,CUST-0363,PROD-124,CH-02,2021-01-19,5,2616.01,13080.05,cancelled,
ORD-10083,CUST-0357,PROD-155,CH-02,2023-03-11,1,469.35,469.35,completed,2023-03-20
ORD-10084,CUST-0453,PROD-120,CH-02,2023-11-29,1,1732.27,1732.27,completed,2023-12-05
ORD-10085,CUST-0185,PROD-125,CH-01,2021-06-08,3,2577.58,7732.74,completed,2021-06-15
ORD-10086,CUST-0041,PROD-136,CH-01,2021-06-08,1,1227.29,1227.29,completed,2021-06-10
ORD-10087,CUST-0337,PROD-110,CH-01,2021-11-06,3,2635.02,7905.06,completed,2021-11-10
ORD-10088,CUST-0162,PROD-108,CH-02,2023-04-05,1,2898.12,2898.12,completed,2023-04-11
ORD-10089,CUST-0338,PROD-119,CH-02,2021-10-13,1,2695.51,2695.51,completed,2021-10-17
ORD-10090,CUST-0224,PROD-120,CH-01,2021-01-09,2,1732.27,3464.54,completed,2021-01-13
ORD-10091,CUST-0197,PROD-101,CH-01,2021-04-11,2,2062.47,4124.94,completed,2021-04-14
ORD-10092,CUST-0493,PROD-105,CH-03,2022-03-18,5,3221.29,16106.45,completed,2022-03-24
ORD-10093,CUST-0180,PROD-139,CH-01,2023-01-16,3,1168.54,3505.62,completed,2023-01-23
ORD-10094,CUST-0064,PROD-148,CH-01,2021-06-16,4,1847.98,7391.92,pending,
ORD-10095,CUST-0324,PROD-106,CH-01,2023-07-01,3,3605.58,10816.74,pending,
ORD-10096,CUST-0497,PROD-150,CH-01,2023-12-07,4,583.16,2332.64,cancelled,
ORD-10097,CUST-0023,PROD-106,CH-02,2023-04-18,1,3605.58,3605.58,cancelled,
ORD-10098,CUST-0430,PROD-143,CH-02,2022-12-23,1,2100.35,2100.35,completed,2022-12-26
